State Name	Branch Name	Serial Number
Uttrakhand	Kashipur	H43535978
Haryana	Sonipat	J36100455
Rajasthan	Bassi	J36100463
Rajasthan	Sanchore	J36100506
Utter Pradesh	Kiraoli	J36101808
Utter Pradesh	Najibabad	J36101909
Odisha	Odagaon	J36101973
Gujarat	Godhra	J36102757
Rajasthan	Osian	J36102910
Madhya Pradesh	Anuppur	J36103460
Madhya Pradesh	Mandla	J36103516
Madhya Pradesh	Rewa	J36103517
Madhya Pradesh	Sidhi	J36103549
Madhya Pradesh	Katni	J36103624
Madhya Pradesh	Satna	J36103637
Haryana	Gohana	J57314720
Madhya Pradesh	Dabra	J57314722
Himachal Pradesh	Kangra	J57326681
Odisha	Sakhigopal	J57326757
Himachal Pradesh	Una	J57326765
Gujarat	Nakhatrana	J57326792
Odisha	Balakati	J91974195
Utter Pradesh	Mawana	J91975255
Gujarat	Khambhat	J91975265
Rajasthan	Deoli	K10312185
Madhya Pradesh	Chhatarpur	J36103640
Gujarat	Dahod	J36105545
Himachal Pradesh	Paonta Sahib	J36105559
Haryana	Lohgarh	J36105562
Himachal Pradesh	Bilaspur_Hp	J36105596
Gujarat	Jamnagar	J57314014
Rajasthan	Malpura	J57314019
Rajasthan	Gudha Malani	J57314023
Gujarat	Khambhalia	J57314407
Gujarat	Jetpur	J57314593
Rajasthan	Bhopalgarh	K10312417
Utter Pradesh	Tundla	K10320399
Odisha	Champua	K10320519
Utter Pradesh	Siyana	K10320523
Utter Pradesh	Gajraula	K10320700
Utter Pradesh	Govardhan	K10320710
Uttrakhand	Laksar	K10320743
Rajasthan	Balotra	K10320772
Gujarat	Ellishbridge	K84959857
Gujarat	Mora	L51043837
Utter Pradesh	Muzaffarnagar	L51045428
Utter Pradesh	Chhata	L51045434
Odisha	Nischintakoili	L51045435
Odisha	Khordha	L51045436
Odisha	Chandikhol	L51045437
Utter Pradesh	Shikohabad	L51045438
Rajasthan	Ramganjmandi	L51045489
Madhya Pradesh	Meghnagar	L51045509
Rajasthan	Bar	L51045512
Rajasthan	Didwana	L51045514
Gujarat	Gangartalai	L51043838
Gujarat	Naroda	L51043875
Utter Pradesh	Khair	L51044076
Haryana	Bhattu Mandi	L51044203
Rajasthan	Chauhtan	L51044216
Haryana	Dharuhera	L51044220
Rajasthan	Shakkargarh	L51045253
Utter Pradesh	Nagal	L51045349
Utter Pradesh	Dhampur	L51045363
Gujarat	Diwada	L51045413
Odisha	Balugaon	L51045936
Uttrakhand	Rudrapur	L51046149
Utter Pradesh	Khatauli	L51046172
Jharkhand	Bagodar	L51046173
Utter Pradesh	Fatehabad	L51046185
Rajasthan	Asind	L51045517
Gujarat	Zalod	L51045522
Gujarat	Devgarhbaria	L51045523
Utter Pradesh	Sarsawa	L51045571
Uttrakhand	Jhabrera	L51045572
Utter Pradesh	Shamli	L51045575
Gujarat	Sukhsar	L51045576
Gujarat	Dhanpur	L51045585
Haryana	Pundri	L51045588
Odisha	Keonjhar	L51045925
